"Clave";"Título PDF";"Artista PDF";"Título Excel";"Intérprete Excel";"Carpeta Excel";"Similitud"
"10:18";"Poco Allegretto - Sinfonie 3 F-Dur - 3, op.90";"Brahms, Johannes (1833-1897)";"Poco Allegreto from Symphony N-3";"Brahms";"IBF10-Sincr Melódica,Encuentros  Contacto sensible";"0.25"
"19:05";"I Wanna Be Loved";"Horn, Shirley";"When I’m Sixty Four";"The  Beatles";"IBF19 Complementario 1";"0.00"
"19:10";"Maybe God Is Tryin' To Tell You Somethin' (Vocal Tata Vega)";"OST The Color Purple";"Diamonds are a girl’s best friend";"L. Fygi";"IBF19 Complementario 1";"0.00"
"19:04";"Ray's Blues";"Charles, Ray";"With a little help from my friends";"The  Beatles";"IBF19 Complementario 1";"0.00"
"16:15";"Raga Adana";"Shankar, Ravi & Previn, André";"Song from the hills";"Ravi Shankar";"IBF16- Danza Expresiva creativa VITALIDAD TRASCENDENCIA";"0.00"
"20:18";"Tan Xingquing Park";"Shanti, Oliver & Friends";"Sinfonia 9";"Himno Alegría     Bethoven";"IBF20 Complementario II";"0.00"
"19:08";"Daphnis et Chloé (Ozawa) - Danse finale Bacchanale - Ballet, 3ème tableau - III";"Ravel, Maurice (1875-1937)";"That old feeling";"Laura Fygi";"IBF19 Complementario 1";"0.00"
"18:01";"Shine On You Crazy Diamond, P1 [Part 1]";"Pink Floyd";"I wish you were here (parte 1)";"Pink Floyd";"IBF18-Posiciones Generatrices TRASCENDENCIA";"0.20"
"18:13";"Shine On You Crazy Diamond, P1 [Part 2]";"Pink Floyd";"I wish you were here (parte 1)";"Pink Floyd";"IBF18-Posiciones Generatrices TRASCENDENCIA";"0.20"
"18:14";"Allegro [Part] - Sinfonie 6 F-Dur op.68 - 4 (Gewitter-Sturm)";"Beethoven, Ludwig van (1770-1827)";"Allegro Tempestad Sinfon N6 pastoral";"Beethoven";"IBF18-Posiciones Generatrices TRASCENDENCIA";"0.25"
"18:12";"Song Of Lamentation [Part] {End Part of 'Sanctus. Bwala Dance'}";"Fanshawe, David";"Canzone del latte";"Africa Sanctus";"IBF18-Posiciones Generatrices TRASCENDENCIA";"0.00"
"19:07";"Canción del amor dolido (Vocal Teresa Berganza)";"de Falla, Manuel (1876-1946)";"A mi manera";"Gipsy Kings";"IBF19 Complementario 1";"0.00"
"19:06";"Danza ritual del fuego";"de Falla, Manuel (1876-1946)";"I’ve got a woman";"Ray Charles";"IBF19 Complementario 1";"0.00"
"19:17";"Joy";"Mourashkin, Boris";"Mockingbird song";"Katie Melua";"IBF19 Complementario 1";"0.00"
"20:17";"Mockingbird Song";"Melua, Katie";"Carnaval de Sao Vicente";"Cesaria Evora";"IBF20 Complementario II";"0.00"
"20:12";"Corcovado (live)";"Fygi, Laura";"My way";"Elvis Presley";"IBF20 Complementario II";"0.00"
